order_id,product_category,brand,price,discount_percent,discounted_price,quantity_sold,total_revenue,rating,review_count,customer_region,customer_city,payment_method,order_status,shipping_method,customer_segment,sales_channel,device_type,product_condition,seller_type,return_status,delivery_rating,season,promotion_type,membership,gender,delivery_days
10001,Grocery,Sony,86092.06,0,86092.06,5,430460.3,4.1,5995,South,Mumbai,UPI,Shipped,Same Day,New,Mobile Web,Mobile,New,Marketplace,Returned,Good,Summer,Bank Offer,Non-Prime,Male,1
10002,Beauty,Amazon Basics,52276.96,42,30320.64,5,151603.2,2.6,40950,South,Bengaluru,Net Banking,Delivered,Express,New,Desktop Web,Mobile,New,Amazon,Returned,Good,Spring,Coupon,Prime,Female,9
10003,Books,Lenovo,19507.89,8,17947.26,9,161525.34,3.0,38270,South,Kolkata,Debit Card,Shipped,Standard,Premium,Desktop Web,Desktop,Renewed,Amazon,Not Returned,Average,Monsoon,Festival Sale,Prime,Male,5
10004,Grocery,Amazon Basics,89223.61,22,69594.42,8,556755.36,4.7,12920,South,Pune,UPI,Returned,Standard,New,Desktop Web,Mobile,New,Marketplace,Not Returned,Poor,Spring,No Promotion,Non-Prime,Female,8
10005,Fashion,Puma,3298.95,42,1913.39,4,7653.56,4.8,22144,South,Mumbai,Cash on Delivery,Shipped,Same Day,VIP,Amazon.in,Desktop,Renewed,Amazon,Not Returned,Average,Summer,Bank Offer,Non-Prime,Female,7
10006,Toys,Nike,89559.55,44,50153.35,7,351073.45,4.5,18882,South,Pune,Credit Card,Delivered,Same Day,VIP,Mobile Web,Tablet,Renewed,Marketplace,Not Returned,Excellent,Spring,Festival Sale,Prime,Female,8
10007,Books,Samsung,5240.92,57,2253.6,8,18028.8,4.8,2565,West,Warangal,UPI,Returned,Prime,VIP,Amazon App,Mobile,Renewed,Amazon,Not Returned,Excellent,Spring,Festival Sale,Prime,Female,1
10008,Books,Sony,66650.77,1,65984.26,9,593858.34,3.3,23373,North,Chennai,UPI,Delivered,Prime,VIP,Mobile Web,Mobile,New,Amazon,Returned,Poor,Summer,Coupon,Prime,Other,9
10009,Grocery,boAt,7352.6,13,6396.76,5,31983.8,3.1,43557,East,Bengaluru,Cash on Delivery,Shipped,Same Day,Regular,Mobile Web,Tablet,New,Amazon,Not Returned,Good,Monsoon,No Promotion,Prime,Female,1
10010,Home & Kitchen,Samsung,70679.06,37,44527.81,3,133583.43,3.5,5024,Central,Delhi,Net Banking,Processing,Express,VIP,Amazon.in,Tablet,New,Marketplace,Returned,Good,Monsoon,Lightning Deal,Non-Prime,Male,3
10011,Fashion,Puma,3589.34,39,2189.5,4,8758.0,2.6,24691,East,Bengaluru,Debit Card,Cancelled,Prime,New,Desktop Web,Mobile,New,Amazon,Returned,Good,Spring,Festival Sale,Prime,Other,8
10012,Grocery,Lenovo,84276.28,17,69949.31,10,699493.1,4.5,33799,East,Vijayawada,Cash on Delivery,Delivered,Same Day,Premium,Desktop Web,Tablet,Renewed,Marketplace,Returned,Average,Winter,Bank Offer,Prime,Other,1
10013,Fashion,boAt,46700.21,15,39695.18,6,238171.08,5.0,1241,North,Visakhapatnam,Debit Card,Shipped,Prime,New,Amazon.in,Desktop,Renewed,Marketplace,Not Returned,Average,Spring,Coupon,Prime,Female,1
10014,Fashion,Apple,9525.7,52,4572.34,10,45723.4,4.6,34510,North,Vijayawada,Net Banking,Returned,Same Day,VIP,Amazon.in,Desktop,New,Marketplace,Returned,Poor,Winter,Coupon,Non-Prime,Male,6
